Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;
BMW;X2;2021;3455000;https://auto.drom.ru/kazan/bmw/x2/804650420.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 1.5 л;140 л.с., налог;робот;передний;23 128 км;левый;1 поколение;синий;;;;
BMW;8-Series;2021;10790000;https://auto.drom.ru/moscow/bmw/8-series/53551403.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;530 л.с., налог;АКПП;4WD;17 415 км;левый;2 поколение;бордовый;седан;M850i AT xDrive M Sport by Individual;;
BMW;X5;2021;7700000;https://auto.drom.ru/moscow/bmw/x5/53928675.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;231 л.с., налог;АКПП;4WD;44 038 км;левый;4 поколение;черный;;xDrive 25d AT Business;;
BMW;X6;2021;19500000;https://auto.drom.ru/kazan/bmw/x6/575330243.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 4.4 л;625 л.с., налог;АКПП;4WD;30 000 км;левый;3 поколение;черный;;;;
BMW;2-Series;2021;2891000;https://auto.drom.ru/himki/bmw/2-series/373721254.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 1.5 л;140 л.с., налог;робот;передний;45 992 км;левый;1 поколение, рестайлинг;белый;седан;;;
BMW;X5;2021;10200000;https://auto.drom.ru/togliatti/bmw/x5/53160737.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Тольятти;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;54 000 км;левый;3 поколение;;;;;
BMW;X4;2021;6740000;https://auto.drom.ru/moscow/bmw/x4/52696279.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;45 264 км;левый;2 поколение, рестайлинг;синий;;xDrive 20d AT Base;;
BMW;3-Series;2021;3990000;https://auto.drom.ru/moscow/bmw/3-series/700509156.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;59 800 км, без пробега по РФ;левый;7 поколение;синий;седан;320d AT xDrive M Sport;;
BMW;X5;2021;6360000;https://auto.drom.ru/spb/bmw/x5/935460234.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;110 000 км;левый;4 поколение;черный;;;;
BMW;X7;2021;9849000;https://auto.drom.ru/spb/bmw/x7/238716312.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;61 704 км;левый;1 поколение;черный;;;;
BMW;3-Series;2021;5000000;https://auto.drom.ru/moscow/bmw/3-series/53918407.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;18 000 км;левый;7 поколение;серый;седан;;;
BMW;X5;2021;7870000;https://auto.drom.ru/bryansk/bmw/x5/53916781.html;;;;;Брянске;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;12 350 км;левый;4 поколение;синий;;;;
BMW;3-Series;2021;4960000;https://auto.drom.ru/moscow/bmw/3-series/53911676.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;59 000 км;левый;7 поколение;черный;седан;320d AT xDrive M Sport Pure;;
BMW;X5;2021;7730000;https://auto.drom.ru/spb/bmw/x5/53552581.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;89 358 км;левый;4 поколение;черный;;;;
BMW;5-Series;2021;7001000;https://auto.drom.ru/moscow/bmw/5-series/53139493.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;340 л.с., налог;автомат;4WD;27 000 км;левый;;белый;универсал;;;
BMW;X4;2021;6605000;https://auto.drom.ru/moscow/bmw/x4/53138200.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;81 000 км;левый;2 поколение;белый;;;;
BMW;X5;2021;8999000;https://auto.drom.ru/spb/bmw/x5/53137658.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;102 180 км;левый;4 поколение;черный;;;;
BMW;X6;2021;11830000;https://auto.drom.ru/moscow/bmw/x6/52261110.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;52 722 км;левый;3 поколение;синий;;;;
BMW;3-Series;2021;4900000;https://auto.drom.ru/moscow/bmw/3-series/51513369.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;23 374 км;левый;7 поколение;синий;седан;320i AT xDrive M Sport Pure;;
BMW;iX;2021;7190000;https://auto.drom.ru/spb/bmw/ix/733935509.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;электро;523 л.с., налог;АКПП;4WD;15 100 км;левый;1 поколение;серый;;;;
BMW;i3;2021;2599900;https://auto.drom.ru/smolensk/bmw/i3/707066903.html;;;;;Смоленске;электро;170 л.с., налог;автомат;задний;18 900 км, без пробега по РФ;левый;1 поколение, рестайлинг;белый;хэтчбек 5 дв.;;;
BMW;5-Series;2021;5115000;https://auto.drom.ru/spb/bmw/5-series/615079626.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;72 800 км;левый;7 поколение, рестайлинг;черный;седан;520d AT xDrive M Sport Pure;;
BMW;X4;2021;6350000;https://auto.drom.ru/moscow/bmw/x4/775762484.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;25 250 км;левый;2 поколение;черный;;;;
BMW;3-Series;2021;4700000;https://auto.drom.ru/moscow/bmw/3-series/53547829.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;20 869 км;левый;7 поколение;серый;седан;320d AT xDrive M Sport;;
BMW;6-Series Gran Turismo;2021;6350000;https://auto.drom.ru/moscow/bmw/6-series_gran_turismo/53135617.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;45 682 км;левый;1 поколение, рестайлинг;синий;;;;
BMW;X7;2021;11290000;https://auto.drom.ru/kazan/bmw/x7/53133306.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;55 219 км;левый;1 поколение;черный;;;;
BMW;iX;2021;6790000;https://auto.drom.ru/moscow/bmw/ix/385677319.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;электро;197 л.с., налог;автомат;4WD;68 000 км;левый;1 поколение;белый;;;;
BMW;6-Series Gran Turismo;2021;7078000;https://auto.drom.ru/moscow/bmw/6-series_gran_turismo/243613613.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;67 000 км;левый;1 поколение, рестайлинг;серый;;;;
BMW;M4;2021;11079000;https://auto.drom.ru/moscow/bmw/m4/53505860.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;510 л.с., налог;АКПП;задний;6 888 км;левый;2 поколение;серый;купе;;;
BMW;M5;2021;13300000;https://auto.drom.ru/moscow/bmw/m5/53889100.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;625 л.с., налог;АКПП;4WD;64 791 км;левый;6 поколение, рестайлинг;фиолетовый;седан;;;
BMW;X4;2021;6795000;https://auto.drom.ru/moscow/bmw/x4/53890156.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;25 710 км;левый;2 поколение;серый;;;;
BMW;X4;2021;6150000;https://auto.drom.ru/moscow/bmw/x4/53890165.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;33 409 км;левый;2 поколение;красный;;;;
BMW;4-Series;2021;5550000;https://auto.drom.ru/gomel/bmw/4-series/53120283.html;;;;;Гомеле;бензин, 3.0 л;387 л.с., налог;АКПП;4WD;41 000 км;левый;2 поколение;зеленый;купе;M440i xDrive AT M Special;;
