Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Mercedes-Benz;GLE;2019;6499000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/54044431.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;245 л.с., налог;АКПП;4WD;126 000 км;левый;2 поколение;зеленый;;GLE 300 d 4MATIC Sport;;;
Mercedes-Benz;S-Class;2019;7490000;https://auto.drom.ru/spb/mercedes-benz/s-class/54034342.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.9 л;249 л.с., налог;АКПП;4WD;85 478 км;левый;6 поколение, рестайлинг;черный;седан;S 350 d 4MATIC L;;;
Mercedes-Benz;GLE;2019;6529000;https://auto.drom.ru/spb/mercedes-benz/gle-class/53753040.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;245 л.с., налог;АКПП;4WD;59 715 км;левый;2 поколение;белый;;;;;
Mercedes-Benz;E-Class;2019;4030000;https://auto.drom.ru/spb/mercedes-benz/e-class/53748588.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;197 л.с., налог;АКПП;4WD;36 557 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;C-Class;2019;2625650;https://auto.drom.ru/moscow/mercedes-benz/c-class/53367058.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;150 л.с., налог;автомат;задний;61 165 км;левый;;черный;седан;;;;
Mercedes-Benz;V-Class;2019;4740000;https://auto.drom.ru/moscow/mercedes-benz/v-class/52738403.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.1 л;163 л.с., налог;АКПП;задний;95 000 км;левый;3 поколение;черный;;220 d AT Длинный;;;
Mercedes-Benz;GLC;2019;4649000;https://auto.drom.ru/voronezh/mercedes-benz/glc-class/52038562.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;бензин, 2.0 л;258 л.с., налог;АКПП;4WD;63 626 км;левый;1 поколение, рестайлинг;красный;;;;;
Mercedes-Benz;GLC Coupe;2019;4444000;https://auto.drom.ru/moscow/mercedes-benz/glc_coupe/51732625.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;79 369 км;левый;1 поколение, рестайлинг;черный;;GLC 300 4MATIC AT Sport;;;
Mercedes-Benz;C-Class;2019;2175000;https://auto.drom.ru/moscow/mercedes-benz/c-class/50060885.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;150 л.с., налог;АКПП;задний;131 432 км;левый;4 поколение, рестайлинг;черный;седан;;;;
Mercedes-Benz;GLC Coupe;2019;3700000;https://auto.drom.ru/moscow/mercedes-benz/glc_coupe/392929789.html;;;;;Москве;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;35 828 км, без пробега по РФ;левый;1 поколение;серебристый;;GLC 300 4MATIC;;;
Mercedes-Benz;GLE;2019;7150000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/704039041.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;333 л.с., налог;автомат;4WD;52 935 км;левый;;белый;;;;;
Mercedes-Benz;C-Class;2019;2600000;https://auto.drom.ru/reutov/mercedes-benz/c-class/54153990.html;;;;;Реутове;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;108 000 км, без пробега по РФ;левый;4 поколение, рестайлинг;синий;универсал;C 220 d AT 4MATIC;;;
Mercedes-Benz;CLA-Class;2019;3849000;https://auto.drom.ru/moscow/mercedes-benz/cla-class/570732142.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.3 л;150 л.с., налог;робот;передний;8 173 км;левый;2 поколение;серый;седан;CLA 200 DCT Sport;;;
Mercedes-Benz;GLC;2019;4449000;https://auto.drom.ru/vologda/mercedes-benz/glc-class/51639404.html;;;;;Вологде;бензин, 2.0 л;211 л.с., налог;АКПП;4WD;45 600 км, без пробега по РФ;левый;1 поколение;серый;;GLC 250 4MATIC Premium;;;
Mercedes-Benz;GLC;2019;4632000;https://auto.drom.ru/pskov/mercedes-benz/glc-class/54025966.html;;;;;Пскове;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;37 000 км, без пробега по РФ;левый;1 поколение, рестайлинг;черный;;;;;
Mercedes-Benz;GLC;2019;4397000;https://auto.drom.ru/moscow/mercedes-benz/glc-class/54032982.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;33 242 км;левый;1 поколение, рестайлинг;бежевый;;;;;
Mercedes-Benz;C-Class;2019;2990000;https://auto.drom.ru/moscow/mercedes-benz/c-class/54029676.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;184 л.с., налог;АКПП;4WD;101 000 км;левый;4 поколение, рестайлинг;белый;седан;;;;
Mercedes-Benz;A-Class;2019;2900000;https://auto.drom.ru/spb/mercedes-benz/a-class/53743013.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.3 л;150 л.с., налог;робот;передний;60 000 км;левый;4 поколение;красный;седан;A 200 DCT Style;;;
Mercedes-Benz;S-Class;2019;14750000;https://auto.drom.ru/moscow/mercedes-benz/s-class/53739876.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;367 л.с., налог;АКПП;4WD;26 623 км;левый;6 поколение;черный;седан;;;;
Mercedes-Benz;GLC Coupe;2019;4747000;https://auto.drom.ru/moscow/mercedes-benz/glc_coupe/708646506.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;103 684 км;левый;1 поколение, рестайлинг;черный;;;;;
Mercedes-Benz;CLS-Class;2019;5399000;https://auto.drom.ru/spb/mercedes-benz/cls-class/52902805.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.9 л;286 л.с., налог;автомат;4WD;72 214 км;левый;;черный;седан;;;;
