Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;
BMW;5-Series;2017;4049000;https://auto.drom.ru/moscow/bmw/5-series/53209287.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;седан;белый;71 937 км;левый;7 поколение;;
BMW;X4;2017;2899000;https://auto.drom.ru/moscow/bmw/x4/52758036.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;;белый;125 230 км;левый;1 поколение;;
BMW;X6;2017;4890000;https://auto.drom.ru/moscow/bmw/x6/367691578.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;575 л.с., налог;АКПП;4WD;;голубой;116 451 км;левый;2 поколение;;
BMW;7-Series;2017;4890000;https://auto.drom.ru/moscow/bmw/7-series/851434939.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;320 л.с., налог;АКПП;4WD;;белый;94 254 км;левый;6 поколение;;
BMW;X4;2017;3500000;https://auto.drom.ru/moscow/bmw/x4/292326392.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;белый;101 500 км;левый;1 поколение;xDrive 20d AT;
BMW;X3;2017;3987000;https://auto.drom.ru/bryansk/bmw/x3/53611328.html;Год не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Брянске;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;синий;93 334 км;левый;3 поколение;;
BMW;X1;2017;2249000;https://auto.drom.ru/moscow/bmw/x1/403779279.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;192 л.с., налог;автомат;4WD;;черный;92 000 км;левый;2 поколение;;
BMW;3-Series;2017;2850000;https://auto.drom.ru/moscow/bmw/3-series/926306280.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;автомат;4WD;седан;черный;80 000 км;левый;6 поколение, рестайлинг;;
BMW;3-Series;2017;2780000;https://auto.drom.ru/moscow/bmw/3-series/559934181.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;серый;95 954 км;левый;6 поколение, рестайлинг;;
BMW;5-Series;2017;4200000;https://auto.drom.ru/moscow/bmw/5-series/53948628.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;41 400 км, без пробега по РФ;левый;7 поколение;;
BMW;6-Series Gran Turismo;2017;4250000;https://auto.drom.ru/moscow/bmw/6-series_gran_turismo/53941087.html;Цвет не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;320 л.с., налог;АКПП;4WD;;синий;112 189 км;левый;1 поколение;;
BMW;2-Series Active Tourer;2017;1820000;https://auto.drom.ru/moscow/bmw/2-series_active_tourer/704251233.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;136 л.с., налог;АКПП;передний;;синий;150 426 км;левый;1 поколение;;
BMW;5-Series;2017;3408000;https://auto.drom.ru/kazan/bmw/5-series/53928116.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;белый;144 383 км;левый;;;
BMW;5-Series;2017;3350000;https://auto.drom.ru/moscow/bmw/5-series/53921272.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;134 877 км;левый;;;
BMW;7-Series;2018;4200000;https://auto.drom.ru/moscow/bmw/7-series/112255158.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;черный;87 000 км;левый;6 поколение;730Ld AT xDrive;
BMW;X3;2018;3090000;https://auto.drom.ru/moscow/bmw/x3/52635637.html;;;;;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;;белый;107 000 км;левый;3 поколение;;
BMW;X1;2019;2245000;https://auto.drom.ru/moscow/bmw/x1/53740226.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;140 л.с., налог;робот;передний;;белый;103 301 км;левый;2 поколение;;
BMW;X1;2019;2295000;https://auto.drom.ru/moscow/bmw/x1/53714985.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;140 л.с., налог;робот;передний;;белый;102 916 км;левый;2 поколение;;
BMW;8-Series;2019;8640000;https://auto.drom.ru/moscow/bmw/8-series/53354846.html;;;;;Москве;бензин, 4.4 л;530 л.с., налог;АКПП;4WD;купе;белый;22 575 км;левый;2 поколение;M850i AT xDrive Base;
BMW;X1;2019;2725000;https://auto.drom.ru/spb/bmw/x1/52914307.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;150 л.с., налог;АКПП;4WD;;синий;123 069 км;левый;2 поколение;;
BMW;X5;2019;7757316;https://auto.drom.ru/minsk/bmw/x5/826698501.html;;;;;Минске;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;синий;74 000 км;левый;4 поколение;xDrive M50d AT Base;
BMW;X4;2019;4860000;https://auto.drom.ru/moscow/bmw/x4/851331175.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;69 350 км;левый;2 поколение;xDrive 30d AT M Sport;
BMW;X2;2019;3300000;https://auto.drom.ru/moscow/bmw/x2/470049980.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;140 л.с., налог;робот;передний;;белый;25 034 км;левый;1 поколение;;
BMW;7-Series;2019;9300000;https://auto.drom.ru/spb/bmw/7-series/226900126.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;серый;53 000 км;левый;6 поколение, рестайлинг;;
BMW;X2;2019;3232123;https://auto.drom.ru/minsk/bmw/x2/53344338.html;;;;;Минске;дизель, 2.0 л;231 л.с., налог;АКПП;4WD;;черный;39 000 км;левый;1 поколение;xDrive 25d AT Base;
BMW;X5;2019;6690000;https://auto.drom.ru/moscow/bmw/x5/271923049.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;белый;63 000 км;левый;4 поколение;;
BMW;5-Series;2019;3698000;https://auto.drom.ru/moscow/bmw/5-series/54021965.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;80 878 км;левый;7 поколение;;
