Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
BMW;X6;2023;14590000;https://auto.drom.ru/moscow/bmw/x6/54088001.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;;серый;102 км;левый;3 поколение;xDrive30d M Sport;;;
BMW;X5;2023;13950000;https://auto.drom.ru/moscow/bmw/x5/53799941.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;30 км;левый;4 поколение, рестайлинг;xDrive30d AT;;;
BMW;X6;2023;15800000;https://auto.drom.ru/himki/bmw/x6/53798561.html;;;;;Химках;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;синий;новый автомобиль;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;WBA**************;
BMW;X6;2023;16350000;https://auto.drom.ru/himki/bmw/x6/53798566.html;;;;;Химках;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;синий;новый автомобиль;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;WBA**************;
BMW;X5;2023;14500000;https://auto.drom.ru/himki/bmw/x5/53798615.html;;;;;Химках;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;X5;2023;14500000;https://auto.drom.ru/himki/bmw/x5/53798647.html;;;;;Химках;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;X6;2023;13700000;https://auto.drom.ru/himki/bmw/x6/53798667.html;;;;;Химках;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;3 поколение;xDrive 40i AT Base;;WBA**************;
BMW;X6;2023;15800000;https://auto.drom.ru/himki/bmw/x6/53798550.html;;;;;Химках;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;синий;новый автомобиль;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;WBA**************;
BMW;X7;2023;19000000;https://auto.drom.ru/bryansk/bmw/x7/53796452.html;;;;;Брянске;дизель, 3.0 л;340 л.с., налог;автомат;4WD;;черный;116 км;левый;;;;;
BMW;X6;2023;15700000;https://auto.drom.ru/tula/bmw/x6/53417606.html;;;;;Туле;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;;черный;25 км;левый;3 поколение;xDrive30d M Sport;;;
BMW;X5;2023;13550000;https://auto.drom.ru/himki/bmw/x5/53232156.html;;;;;Химках;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение;xDrive 40i AT Base;;WBA**************;
BMW;XM;2023;22900000;https://auto.drom.ru/himki/bmw/xm/53133556.html;;;;;Химках;бензин, 4.4 л, гибрид;653 л.с., налог;автомат;4WD;;синий;новый автомобиль;левый;;;;WBS**************;
BMW;X6;2023;15900000;https://auto.drom.ru/himki/bmw/x6/53133559.html;;;;;Химках;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;WBA**************;
BMW;X6;2023;13100000;https://auto.drom.ru/himki/bmw/x6/53126403.html;;;;;Химках;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;;коричневый;новый автомобиль;левый;3 поколение;xDrive30d;;WBA**************;
BMW;X5;2023;16300000;https://auto.drom.ru/himki/bmw/x5/52935977.html;;;;;Химках;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;X5;2023;16300000;https://auto.drom.ru/himki/bmw/x5/52935982.html;;;;;Химках;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;XM;2023;25500000;https://auto.drom.ru/himki/bmw/xm/52930699.html;;;;;Химках;бензин, 4.4 л, гибрид;653 л.с., налог;автомат;4WD;;черный;новый автомобиль;левый;;;;WBS**************;
