Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Цвет;Пробег;Руль;Поколение;Комплектация;Тип кузова;Особые отметки;VIN;
Audi;Q7;2022;12450000;https://auto.drom.ru/moscow/audi/q7/461626772.html;;;;;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;коричневый;новый автомобиль;левый;2 поколение, рестайлинг;;;;WAU**************;
Audi;Q7;2022;12450000;https://auto.drom.ru/moscow/audi/q7/660445308.html;;;;;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;бежевый;новый автомобиль;левый;2 поколение, рестайлинг;;;;WAU**************;
Audi;Q5;2022;7950000;https://auto.drom.ru/moscow/audi/q5/747012281.html;;;;;Москве;бензин, 2.0 л, гибрид;249 л.с., налог;робот;4WD;черный;новый автомобиль;левый;2 поколение, рестайлинг;2.0 45 TFSI quattro S tronic;;;WAU**************;
Audi;A4;2022;6850000;https://auto.drom.ru/moscow/audi/a4/837975232.html;;;;;Москве;бензин, 2.0 л;249 л.с., налог;робот;4WD;черный;новый автомобиль;левый;5 поколение, рестайлинг;2.0 45 TFSI quattro S tronic;седан;;WAU**************;
Audi;A4;2022;5100000;https://auto.drom.ru/moscow/audi/a4/218281185.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;робот;передний;черный;новый автомобиль;левый;5 поколение, рестайлинг;2.0 35 TFSI S tronic Sport;седан;;WAU**************;
Audi;A4;2022;5750000;https://auto.drom.ru/moscow/audi/a4/732696345.html;;;;;Москве;бензин, 2.0 л;150 л.с., налог;робот;передний;черный;новый автомобиль;левый;5 поколение, рестайлинг;2.0 35 TFSI S tronic Sport;седан;;WAU**************;
Audi;A4;2022;5650000;https://auto.drom.ru/moscow/audi/a4/638647368.html;;;;;Москве;бензин, 2.0 л;150 л.с., налог;робот;передний;черный;новый автомобиль;левый;5 поколение, рестайлинг;2.0 35 TFSI S tronic Sport;седан;;WAU**************;
Audi;Q5 Sportback;2022;7725000;https://auto.drom.ru/moscow/audi/q5_sportback/777997912.html;Объем двигателя, мощность двигателя не совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;204 л.с., налог;автомат;4WD;синий;новый автомобиль;левый;;;;;WAU**************;
Audi;Q5 Sportback;2022;7725000;https://auto.drom.ru/moscow/audi/q5_sportback/866605783.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;204 л.с., налог;автомат;4WD;синий;новый автомобиль;левый;;;;;WAU**************;
Audi;Q5 Sportback;2022;6100000;https://auto.drom.ru/moscow/audi/q5_sportback/54135070.html;Модель не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;265 л.с., налог;автомат;4WD;серебристый;11 900 км;левый;;;;;;
Audi;Q5;2022;8007650;https://auto.drom.ru/moscow/audi/q5/51915023.html;;;;;Москве;дизель, 2.0 л;204 л.с., налог;автомат;4WD;черный;новый автомобиль;левый;;;;;WAU**************;
Audi;Q5 Sportback;2022;7890000;https://auto.drom.ru/moscow/audi/q5_sportback/54132721.html;;;;;Москве;дизель, 2.0 л;204 л.с., налог;автомат;4WD;зеленый;новый автомобиль;левый;;;;;WAU**************;
Audi;S6;2022;8999000;https://auto.drom.ru/moscow/audi/s6/54132690.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;344 л.с., налог;автомат;4WD;черный;10 609 км;левый;;;седан;;;
Audi;Q8;2022;11995000;https://auto.drom.ru/moscow/audi/q8/53841911.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.0 л;507 л.с., налог;автомат;4WD;черный;24 136 км;левый;;;;;;
