Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;1-Series;2013;1490000;https://auto.drom.ru/moscow/bmw/1-series/939126830.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;182 700 км;левый;2 поколение;116i AT Base;;
BMW;X1;2013;1409789;https://auto.drom.ru/spb/bmw/x1/802506564.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;серебристый;164 879 км;левый;1 поколение, рестайлинг;;;
BMW;X1;2013;1661000;https://auto.drom.ru/kazan/bmw/x1/54132391.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;белый;116 123 км;левый;1 поколение, рестайлинг;;;
BMW;X3;2013;2325000;https://auto.drom.ru/spb/bmw/x3/53834631.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;102 000 км;левый;2 поколение;;;
BMW;3-Series;2013;1849099;https://auto.drom.ru/spb/bmw/3-series/53473638.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;245 л.с., налог;автомат;4WD;лифтбек;синий;147 067 км;левый;;;;
BMW;X1;2013;1297000;https://auto.drom.ru/moscow/bmw/x1/53466141.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;АКПП;задний;;серый;83 776 км;левый;1 поколение, рестайлинг;;;
BMW;3-Series;2013;1600000;https://auto.drom.ru/moscow/bmw/3-series/53051342.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;136 л.с., налог;АКПП;задний;седан;коричневый;94 000 км;левый;6 поколение;;;
BMW;7-Series;2013;2800000;https://auto.drom.ru/kirov/bmw/7-series/650506951.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Кирове;бензин, 3.0 л;320 л.с., налог;АКПП;4WD;;черный;210 км;левый;5 поколение, рестайлинг;740Li AT xDrive;;
BMW;X6;2013;2959000;https://auto.drom.ru/moscow/bmw/x6/948125024.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;245 л.с., налог;АКПП;4WD;;синий;165 524 км;левый;1 поколение, рестайлинг;;;
BMW;1-Series;2013;1219000;https://auto.drom.ru/spb/bmw/1-series/274115002.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.6 л;136 л.с., налог;АКПП;задний;хэтчбек 3 дв.;красный;174 000 км;левый;2 поколение;;;
