Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;;;;
BMW;5-Series;1977;1100000;https://auto.drom.ru/moscow/bmw/5-series/52480980.html;;;;;Москве;бензин, 1.8 л;94 л.с., налог;механика;задний;седан;красный;200 000 км;левый;;;;
BMW;5-Series;1978;130000;https://auto.drom.ru/nizhniy-novgorod/bmw/5-series/53404372.html;;;;;Нижнем Новгороде;бензин, 1.8 л;90 л.с., налог;механика;задний;седан;бордовый;216 000 км;левый;1 поколение, рестайлинг;518 MT;;
BMW;5-Series;1979;150000;https://auto.drom.ru/ivanovo/bmw/5-series/53203036.html;;;;;Иваново;бензин, 1.8 л;90 л.с., налог;механика;задний;седан;зеленый;185 210 км;правый;;;требуется ремонт или не на ходу;
BMW;5-Series;1982;75000;https://auto.drom.ru/moscow/bmw/5-series/718413058.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.8 л;90 л.с., налог;механика;задний;седан;зеленый;190 000 км;левый;2 поколение;518 MT;требуется ремонт или не на ходу;
BMW;5-Series;1982;340000;https://auto.drom.ru/moscow/bmw/5-series/51523787.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.8 л;90 л.с., налог;механика;задний;седан;серый;318 000 км;левый;2 поколение;518 MT;;
BMW;3-Series;1982;180000;https://auto.drom.ru/kursk/bmw/3-series/53596536.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Курске;бензин, 1.8 л;105 л.с., налог;механика;задний;купе;красный;1 000 км;левый;1 поколение;318i MT;требуется ремонт или не на ходу;
BMW;5-Series;1983;230000;https://auto.drom.ru/moscow/bmw/5-series/53850765.html;Мощность двигателя не совпадает с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;125 л.с., налог;механика;задний;седан;голубой;265 000 км;левый;2 поколение;520i MT;;
BMW;6-Series;1983;4000000;https://auto.drom.ru/moscow/bmw/6-series/52519672.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.4 л;218 л.с., налог;механика;задний;купе;синий;120 000 км;левый;1 поколение;635 CSi MT;;
BMW;3-Series;1983;2500000;https://auto.drom.ru/moscow/bmw/3-series/50387354.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;125 л.с., налог;механика;задний;седан;красный;12 000 км;левый;2 поколение;320i MT;;
BMW;5-Series;1983;240000;https://auto.drom.ru/moscow/bmw/5-series/51533293.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Есть ограничения;Москве;бензин, 2.8 л;184 л.с., налог;механика;задний;седан;синий;284 000 км;левый;2 поколение;528i MT;;
BMW;3-Series;1983;270000;https://auto.drom.ru/spb/bmw/3-series/53902951.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;125 л.с., налог;механика;задний;купе;серый;100 000 км;левый;2 поколение;320i MT;;
BMW;3-Series;1984;250000;https://auto.drom.ru/moscow/bmw/3-series/196467332.html;Мощность двигателя не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.8 л;90 л.с., налог;механика;задний;седан;серый;900 000 км;левый;2 поколение;316 MT;;
BMW;3-Series;1984;233500;https://auto.drom.ru/smolensk/bmw/3-series/53382612.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Смоленске;бензин, 2.0 л;125 л.с., налог;механика;задний;купе;серебристый;320 000 км;левый;2 поколение;320i MT;;
BMW;6-Series;1984;2200000;https://auto.drom.ru/moscow/bmw/6-series/52929511.html;;;;;Москве;бензин, 3.4 л;218 л.с., налог;АКПП;задний;купе;красный;35 000 км;левый;1 поколение;635 CSi AT;;
BMW;3-Series;1984;325000;https://auto.drom.ru/saratov/bmw/3-series/53240197.html;Объем двигателя, мощность двигателя не совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Саратове;бензин, 1.8 л;90 л.с., налог;механика;задний;седан;серебристый;285 000 км;левый;2 поколение;316 MT;;
BMW;3-Series;1984;200000;https://auto.drom.ru/yaroslavl/bmw/3-series/52961096.html;Объем двигателя не совпадает с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Ярославле;бензин, 1.8 л;90 л.с., налог;механика;задний;седан;черный;290 451 км;левый;2 поколение;316 MT;требуется ремонт или не на ходу;
BMW;3-Series;1984;215000;https://auto.drom.ru/moscow/bmw/3-series/748348340.html;Мощность двигателя не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Есть ограничения;Москве;бензин, 1.8 л;105 л.с., налог;механика;задний;купе;белый;270 000 км;левый;2 поколение;318i MT;;
BMW;3-Series;1985;250000;https://auto.drom.ru/moscow/bmw/3-series/53819526.html;Объем двигателя, мощность двигателя не совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;125 л.с., налог;механика;задний;седан;черный;290 000 км;левый;2 поколение;320i MT;;
BMW;3-Series;1985;370000;https://auto.drom.ru/donetsk/bmw/3-series/53312247.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Донецке;бензин, 1.8 л, ГБО;90 л.с., налог;механика;задний;седан;красный;350 000 км;левый;2 поколение;316 MT;;
BMW;3-Series;1985;490000;https://auto.drom.ru/moscow/bmw/3-series/53774181.html;Объем двигателя, мощность двигателя не совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;125 л.с., налог;механика;задний;седан;красный;30 000 км;левый;2 поколение;320i MT;;
BMW;3-Series;1986;200000;https://auto.drom.ru/moscow/bmw/3-series/303605458.html;;;;;Москве;дизель, 2.4 л;86 л.с., налог;механика;задний;седан;черный;170 000 км;левый;2 поколение;324d MT;;
BMW;3-Series;1986;270000;https://auto.drom.ru/vyksa/bmw/3-series/264517592.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Выксе;бензин, 1.8 л;102 л.с., налог;механика;задний;купе;белый;290 000 км;левый;2 поколение;318i MT;;
BMW;3-Series;1986;400000;https://auto.drom.ru/spb/bmw/3-series/460121327.html;;;;;Санкт-Петербурге;бензин, 1.8 л;90 л.с., налог;механика;задний;седан;белый;100 000 км;левый;2 поколение;316 MT;;
BMW;3-Series;1986;770000;https://auto.drom.ru/moscow/bmw/3-series/184589997.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.8 л;105 л.с., налог;механика;задний;седан;серый;243 000 км;левый;2 поколение;318i MT;;
BMW;3-Series;1986;160000;https://auto.drom.ru/moscow/bmw/3-series/640263868.html;;;;;Москве;дизель, 2.4 л;86 л.с., налог;механика;задний;седан;черный;388 000 км;левый;2 поколение;324d MT;;
BMW;3-Series;1987;5500000;https://auto.drom.ru/ramenskoe/bmw/3-series/485736437.html;;;;;Раменском;бензин, 2.0 л;129 л.с., налог;механика;задний;седан;серый;200 000 км, без пробега по РФ;левый;2 поколение;320i MT;;
BMW;5-Series;1987;180000;https://auto.drom.ru/kromy/bmw/5-series/551595691.html;;;;;Кромах;бензин, 2.0 л;129 л.с., налог;механика;задний;седан;;;левый;3 поколение;520i MT;;
BMW;3-Series;1987;470000;https://auto.drom.ru/spb/bmw/3-series/53322031.html;Мощность двигателя не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.4 л;115 л.с., налог;механика;задний;седан;белый;280 000 км;левый;2 поколение;324td MT;;
BMW;7-Series;1987;380000;https://auto.drom.ru/velikiy-novgorod/bmw/7-series/491443572.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Великом Новгороде;бензин, 3.4 л;211 л.с., налог;механика;задний;;синий;300 000 км;левый;2 поколение;735i MT Catalyst;;
BMW;3-Series;1987;470000;https://auto.drom.ru/vidnoe/bmw/3-series/208346905.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Видном;бензин, 1.8 л;102 л.с., налог;механика;задний;седан;зеленый;245 000 км;левый;2 поколение;;;
BMW;7-Series;1988;440000;https://auto.drom.ru/yoshkar-ola/bmw/7-series/53927103.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Йошкар-Оле;бензин, 3.4 л, ГБО;211 л.с., налог;механика;задний;;черный;280 000 км;левый;2 поколение;;;
BMW;5-Series;1988;245000;https://auto.drom.ru/moscow/bmw/5-series/506426504.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.5 л;170 л.с., налог;механика;задний;седан;синий;405 000 км;левый;3 поколение;525i MT;;
BMW;3-Series;1989;375000;https://auto.drom.ru/pavlovskiy-posad/bmw/3-series/248887251.html;Характеристики совпадают с ПТС;12 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Павловском Посаде;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;черный;;левый;2 поколение;;;
BMW;5-Series;1989;1000000;https://auto.drom.ru/donetsk/bmw/5-series/53783169.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Донецке;бензин, 2.0 л, ГБО;129 л.с., налог;механика;задний;седан;серый;50 км;левый;3 поколение;520i MT;;
BMW;5-Series;1989;520000;https://auto.drom.ru/spb/bmw/5-series/53406844.html;;;;;Санкт-Петербурге;бензин, 2.0 л;129 л.с., налог;механика;задний;седан;серый;200 000 км;левый;3 поколение;520i MT;;
