Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;;;;;
BMW;X3;2016;2700000;https://auto.drom.ru/moscow/bmw/x3/53763843.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;133 600 км;левый;2 поколение, рестайлинг;;;;;
BMW;X5;2016;3248000;https://auto.drom.ru/kazan/bmw/x5/54009505.html;;;;;Казани;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;249 950 км;левый;3 поколение;черный;;;;
BMW;3-Series;2016;1960000;https://auto.drom.ru/nizhniy-novgorod/bmw/3-series/629539570.html;;;;;Нижнем Новгороде;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;203 000 км;левый;6 поколение, рестайлинг;черный;седан;;;
BMW;7-Series;2016;4550000;https://auto.drom.ru/moscow/bmw/7-series/785717031.html;;;;;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;задний;113 000 км;левый;6 поколение;;;;;
BMW;X6;2016;3700000;https://auto.drom.ru/kazan/bmw/x6/53571428.html;;;;;Казани;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;177 000 км;левый;2 поколение;черный;;xDrive 30d AT M Sport;;
BMW;M4;2016;19700000;https://auto.drom.ru/moscow/bmw/m4/45284134.html;;;;;Москве;бензин, 3.0 л;450 л.с., налог;робот;задний;;левый;1 поколение;;купе;3.0 AMT 100 Years Edition;;
BMW;5-Series;2017;2250000;https://auto.drom.ru/moscow/bmw/5-series/676307701.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;левый;7 поколение;синий;седан;520d AT xDrive;документы с проблемами или отсутствуют;
BMW;X4;2017;3050000;https://auto.drom.ru/moscow/bmw/x4/362541157.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;153 000 км;левый;1 поколение;красный;;xDrive 20d AT M Sport;;
BMW;X5;2017;4365000;https://auto.drom.ru/voskresensk/bmw/x5/53197216.html;;;;;Воскресенске;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;89 000 км;левый;3 поколение;белый;;;;
BMW;3-Series;2017;2235000;https://auto.drom.ru/moscow/bmw/3-series/471370600.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;85 194 км;левый;6 поколение, рестайлинг;синий;седан;;;
BMW;5-Series;2017;3248000;https://auto.drom.ru/lipetsk/bmw/5-series/236139472.html;Мощность двигателя не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Липецке;дизель, 2.0 л;190 л.с., налог;АКПП;задний;165 820 км;левый;7 поколение;;седан;;;
BMW;X1;2017;2399000;https://auto.drom.ru/spb/bmw/x1/821141739.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;150 л.с., налог;АКПП;4WD;90 800 км;левый;2 поколение;синий;;;;
BMW;5-Series;2017;2870000;https://auto.drom.ru/spb/bmw/5-series/53945347.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;задний;71 000 км;левый;;синий;седан;;;
BMW;3-Series;2017;2141414;https://auto.drom.ru/moscow/bmw/3-series/52300607.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;136 л.с., налог;АКПП;задний;140 000 км;правый;6 поколение, рестайлинг;синий;седан;318i Luxury;;
BMW;3-Series;2017;3800000;https://auto.drom.ru/moscow/bmw/3-series/49580215.html;;;;;Москве;бензин, 2.0 л;252 л.с., налог;АКПП;4WD;164 000 км, без пробега по РФ;левый;6 поколение, рестайлинг;черный;седан;330i AT xDrive;;
BMW;X3;2017;2050000;https://auto.drom.ru/nizhniy-novgorod/bmw/x3/379742809.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;бензин, 2.0 л;245 л.с., налог;автомат;задний;185 000 км;левый;2 поколение, рестайлинг;красный;;;;
BMW;i3;2017;2399000;https://auto.drom.ru/kazan/bmw/i3/461415816.html;;;;;Казани;бензин, 0.6 л, гибрид;34 л.с., налог;автомат;задний;56 000 км;левый;1 поколение;голубой;хэтчбек 5 дв.;;;
BMW;X5;2017;3100000;https://auto.drom.ru/minsk/bmw/x5/53150387.html;;;;;Минске;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;105 000 км;левый;3 поколение;белый;;xDrive 35i AT;;
BMW;4-Series;2017;3000000;https://auto.drom.ru/ramenskoe/bmw/4-series/51861474.html;;;;;Раменском;бензин, 3.0 л;326 л.с., налог;АКПП;4WD;123 000 км;левый;1 поколение, рестайлинг;черный;купе;440i AT xDrive;;
BMW;5-Series;2017;3790000;https://auto.drom.ru/kaluga/bmw/5-series/154411697.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Калуге;дизель, 3.0 л;249 л.с., налог;автомат;4WD;81 000 км;левый;7 поколение;черный;универсал;;;
BMW;5-Series;2017;3099000;https://auto.drom.ru/moscow/bmw/5-series/290784266.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;163 579 км;левый;;черный;седан;;;
