Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;
BMW;7-Series;2020;7450000;https://auto.drom.ru/moscow/bmw/7-series/811999278.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;82 444 км;левый;6 поколение, рестайлинг;черный;;;;
BMW;X7;2020;8500000;https://auto.drom.ru/himki/bmw/x7/637251376.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;82 405 км;левый;1 поколение;белый;;;;
BMW;2-Series;2020;3985000;https://auto.drom.ru/moscow/bmw/2-series/583285365.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;306 л.с., налог;АКПП;4WD;37 432 км;левый;1 поколение, рестайлинг;синий;седан;;;
BMW;3-Series;2020;3700000;https://auto.drom.ru/moscow/bmw/3-series/552152706.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;79 600 км, без пробега по РФ;левый;7 поколение;белый;седан;;;
BMW;7-Series;2020;7300000;https://auto.drom.ru/moscow/bmw/7-series/653755132.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;автомат;4WD;62 883 км, без пробега по РФ;левый;6 поколение, рестайлинг;черный;;;;
BMW;5-Series;2020;5039000;https://auto.drom.ru/moscow/bmw/5-series/427487430.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;50 458 км;левый;7 поколение, рестайлинг;серый;седан;520d AT xDrive M Sport Pure;;
BMW;X3;2020;5490000;https://auto.drom.ru/kazan/bmw/x3/878283770.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;81 484 км;левый;3 поколение;серый;;;;
BMW;5-Series;2020;5300000;https://auto.drom.ru/moscow/bmw/5-series/260281716.html;;;;;Москве;дизель, 3.0 л;340 л.с., налог;АКПП;4WD;85 000 км;левый;7 поколение, рестайлинг;черный;седан;540d AT xDrive;;
BMW;X3;2020;3250000;https://auto.drom.ru/moscow/bmw/x3/539004978.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;98 000 км;левый;3 поколение;черный;;xDrive 20d AT M Sport;;
BMW;5-Series;2020;4200000;https://auto.drom.ru/kazan/bmw/5-series/644521911.html;;;;;Казани;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;123 221 км;левый;7 поколение;серебристый;седан;;;
BMW;X5;2020;9398000;https://auto.drom.ru/moscow/bmw/x5/586753734.html;;;;;Москве;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;54 206 км;левый;4 поколение;черный;;;;
BMW;3-Series;2020;3100000;https://auto.drom.ru/minsk/bmw/3-series/270271710.html;;;;;Минске;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;110 000 км;левый;7 поколение;черный;универсал;320d AT xDrive M Sport;;
BMW;X3;2020;5660000;https://auto.drom.ru/moscow/bmw/x3/468547327.html;;;;;Москве;дизель, 3.0 л;326 л.с., налог;АКПП;4WD;58 000 км;левый;3 поколение;черный;;xDrive M40d AT M Special;;
BMW;X7;2020;10995000;https://auto.drom.ru/kazan/bmw/x7/821253511.html;;;;;Казани;дизель, 3.0 л;340 л.с., налог;АКПП;4WD;47 511 км, без пробега по РФ;левый;1 поколение;белый;;xDrive40d AT M Sport Pro;;
BMW;8-Series;2020;8550000;https://auto.drom.ru/moscow/bmw/8-series/53240837.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;340 л.с., налог;автомат;задний;18 712 км;левый;2 поколение;серый;открытый;;;
BMW;X3;2020;5490000;https://auto.drom.ru/moscow/bmw/x3/53968853.html;;;;;Москве;бензин, 3.0 л;382 л.с., налог;автомат;4WD;36 300 км;левый;3 поколение;синий;;;;
BMW;7-Series;2020;6190000;https://auto.drom.ru/moscow/bmw/7-series/53611269.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;задний;93 200 км;левый;6 поколение, рестайлинг;черный;;730i AT M Sport Pure;;
BMW;1-Series;2020;3680000;https://auto.drom.ru/moscow/bmw/1-series/53537581.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;150 л.с., налог;АКПП;передний;50 000 км, без пробега по РФ;левый;3 поколение;синий;хэтчбек 5 дв.;118d AT Base;;
BMW;5-Series;2020;6700000;https://auto.drom.ru/moscow/bmw/5-series/53244428.html;;;;;Москве;бензин, 3.0 л;340 л.с., налог;автомат;задний;49 000 км;левый;7 поколение, рестайлинг;синий;седан;;;
BMW;X5;2020;6750000;https://auto.drom.ru/moscow/bmw/x5/53234977.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;150 073 км;левый;4 поколение;черный;;xDrive 30d AT M Sport Pro;;
BMW;X6;2020;10199000;https://auto.drom.ru/moscow/bmw/x6/53232078.html;;;;;Москве;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;72 850 км;левый;3 поколение;черный;;;;
BMW;5-Series;2020;5700000;https://auto.drom.ru/spb/bmw/5-series/52912197.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;97 757 км;левый;7 поколение, рестайлинг;черный;седан;520d AT xDrive M Sport Pure;;
BMW;X3;2020;4999000;https://auto.drom.ru/spb/bmw/x3/52784992.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;265 л.с., налог;автомат;4WD;71 006 км;левый;;синий;;;;
BMW;X5;2020;8300000;https://auto.drom.ru/spb/bmw/x5/213296130.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;75 300 км;левый;4 поколение;белый;;xDrive30d AT M Sport;;
BMW;X1;2020;3690000;https://auto.drom.ru/kaluga/bmw/x1/563011952.html;;;;;Калуге;дизель, 2.0 л;231 л.с., налог;АКПП;4WD;33 000 км, без пробега по РФ;левый;2 поколение, рестайлинг;голубой;;xDrive25d AT M Sport;;
BMW;X7;2020;9150000;https://auto.drom.ru/moscow/bmw/x7/53207943.html;;;;;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;45 000 км, без пробега по РФ;левый;1 поколение;серый;;xDrive40i AT Pure Excellence;;
BMW;3-Series;2020;3800000;https://auto.drom.ru/borovichi/bmw/3-series/888274272.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Боровичах;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;94 000 км;левый;7 поколение;серебристый;универсал;320d AT xDrive Luxury;;
BMW;X7;2020;7440000;https://auto.drom.ru/moscow/bmw/x7/53895373.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;340 л.с., налог;АКПП;4WD;77 400 км;левый;1 поколение;черный;;;;
BMW;X1;2020;2485000;https://auto.drom.ru/moscow/bmw/x1/692933599.html;;;;;Москве;дизель, 1.5 л;116 л.с., налог;робот;передний;87 134 км, без пробега по РФ;левый;2 поколение, рестайлинг;черный;;sDrive16d DKG;;
BMW;X6;2020;9399000;https://auto.drom.ru/yaroslavl/bmw/x6/53228412.html;;;;;Ярославле;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;46 132 км, без пробега по РФ;левый;3 поколение;синий;;;;
