Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Audi;A5;2015;2339789;https://auto.drom.ru/spb/audi/a5/54088986.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;230 л.с., налог;робот;4WD;57 160 км;левый;1 поколение, рестайлинг;белый;купе;;;;
Audi;A3;2015;2230000;https://auto.drom.ru/spb/audi/a3/53433665.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.8 л;180 л.с., налог;робот;4WD;83 217 км;левый;3 поколение;серебристый;седан;;;;
Audi;Q7;2015;3200000;https://auto.drom.ru/ivanovo/audi/q7/53428224.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Иваново;бензин, 3.0 л;333 л.с., налог;АКПП;4WD;250 000 км;левый;2 поколение;черный;;;;;
Audi;Q7;2015;3998000;https://auto.drom.ru/moscow/audi/q7/219648778.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;182 073 км;левый;2 поколение;черный;;;;;
Audi;Q7;2015;3200000;https://auto.drom.ru/kraskovo/audi/q7/597844606.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Краскове;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;199 000 км;левый;2 поколение;черный;;3.0 45 TDI quattro tiptronic Comfort;;;
Audi;A6 allroad quattro;2015;3583206;https://auto.drom.ru/minsk/audi/a6_allroad_quattro/532262130.html;;;;;Минске;бензин, 3.0 л;333 л.с., налог;робот;4WD;67 000 км;левый;3 поколение, рестайлинг;серый;;3.0 TFSI quattro S tronic Business;;;
Audi;Q7;2015;2767686;https://auto.drom.ru/minsk/audi/q7/52968928.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Минске;бензин, 3.0 л;333 л.с., налог;АКПП;4WD;211 000 км;левый;2 поколение;белый;;3.0 55 TFSI quattro tiptronic Comfort;;;
Audi;A4;2015;1797000;https://auto.drom.ru/moscow/audi/a4/53408526.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.8 л;170 л.с., налог;вариатор;передний;63 000 км;левый;4 поколение, рестайлинг;коричневый;седан;;;;
Audi;A6;2015;1729000;https://auto.drom.ru/spb/audi/a6/53801550.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.8 л;190 л.с., налог;робот;передний;188 000 км;левый;4 поколение, рестайлинг;белый;седан;;;;
Audi;A1;2015;1689000;https://auto.drom.ru/moscow/audi/a1/918740707.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.4 л;125 л.с., налог;робот;передний;88 399 км;левый;1 поколение, рестайлинг;белый;хэтчбек 3 дв.;;;;
Audi;A4;2015;2695000;https://auto.drom.ru/moscow/audi/a4/143339492.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.4 л;150 л.с., налог;робот;передний;62 344 км;левый;5 поколение;серый;седан;;;;
Audi;Q3;2015;2199874;https://auto.drom.ru/spb/audi/q3/132119660.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;180 л.с., налог;робот;4WD;118 539 км;левый;1 поколение, рестайлинг;синий;;;;;
Audi;Q7;2015;4250000;https://auto.drom.ru/moscow/audi/q7/423478822.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;177 000 км;левый;2 поколение;синий;;;;;
Audi;Q7;2015;3899999;https://auto.drom.ru/shuya/audi/q7/668423227.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Шуе;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;179 900 км;левый;2 поколение;белый;;;;;
Audi;Q3;2015;2148000;https://auto.drom.ru/moscow/audi/q3/331879734.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;180 л.с., налог;робот;4WD;139 000 км;левый;1 поколение, рестайлинг;коричневый;;;;;
Audi;Q3;2015;1970000;https://auto.drom.ru/moscow/audi/q3/659240348.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;180 л.с., налог;робот;4WD;127 000 км;левый;1 поколение, рестайлинг;белый;;;;;
Audi;A3;2015;1470000;https://auto.drom.ru/moscow/audi/a3/108469545.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.4 л;125 л.с., налог;робот;передний;201 400 км;левый;3 поколение;белый;седан;;;;
Audi;Q5;2015;2450000;https://auto.drom.ru/stariy-oskol/audi/q5/579793575.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Старом Осколе;бензин, 2.0 л;230 л.с., налог;АКПП;4WD;144 000 км;левый;1 поколение, рестайлинг;белый;;;;;
