Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;5-Series;2009;550000;https://auto.drom.ru/podolsk/bmw/5-series/54099026.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Есть ограничения;Подольске;бензин, 3.0 л;218 л.с., налог;АКПП;4WD;седан;серый;210 000 км;левый;5 поколение, рестайлинг;525xi AT xDrive;документы с проблемами или отсутствуют;
BMW;X6;2009;1408000;https://auto.drom.ru/moscow/bmw/x6/54088374.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;красный;174 025 км;левый;1 поколение;;;
BMW;3-Series;2009;1038044;https://auto.drom.ru/minsk/bmw/3-series/53396467.html;;;;;Минске;дизель, 2.0 л;177 л.с., налог;АКПП;задний;купе;красный;285 000 км;левый;5 поколение;320d AT;;
BMW;X6;2009;2399000;https://auto.drom.ru/saratov/bmw/x6/53799670.html;Характеристики совпадают с ПТС;12 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Саратове;дизель, 3.0 л;235 л.с., налог;АКПП;4WD;;белый;280 000 км;левый;1 поколение;xDrive 30d AT;;
BMW;X6;2009;1999000;https://auto.drom.ru/kazan/bmw/x6/53232359.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;235 л.с., налог;АКПП;4WD;;белый;196 739 км;левый;1 поколение;xDrive 30d AT;;
BMW;7-Series;2009;1250000;https://auto.drom.ru/moscow/bmw/7-series/48416081.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;407 л.с., налог;АКПП;задний;;черный;193 000 км;левый;5 поколение;750Li AT;;
BMW;3-Series;2009;1130000;https://auto.drom.ru/moscow/bmw/3-series/601407057.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;136 л.с., налог;АКПП;задний;седан;серебристый;286 000 км;левый;5 поколение, рестайлинг;;;
BMW;1-Series;2009;820000;https://auto.drom.ru/odintsovo/bmw/1-series/54072245.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Одинцове;бензин, 1.6 л;116 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;155 460 км;левый;1 поколение, рестайлинг;116i AT Base;;
BMW;3-Series;2009;1250000;https://auto.drom.ru/kazan/bmw/3-series/54068028.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 2.0 л;136 л.с., налог;АКПП;задний;седан;синий;100 000 км;левый;5 поколение, рестайлинг;;;
BMW;X6;2009;1850000;https://auto.drom.ru/pskov/bmw/x6/51689202.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Пскове;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;белый;131 000 км;левый;1 поколение;xDrive 35i AT;;
BMW;X6;2009;1850000;https://auto.drom.ru/moscow/bmw/x6/338485759.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;555 л.с., налог;АКПП;4WD;;серый;175 000 км;левый;1 поколение;M;;
BMW;5-Series;2009;855000;https://auto.drom.ru/kaluga/bmw/5-series/53244881.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Калуге;дизель, 2.0 л;163 л.с., налог;механика;задний;универсал;синий;445 000 км;левый;5 поколение, рестайлинг;520d MT Edition Fleet;;
BMW;5-Series;2009;1250000;https://auto.drom.ru/moscow/bmw/5-series/428262471.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.5 л;218 л.с., налог;АКПП;задний;седан;черный;234 000 км;левый;5 поколение, рестайлинг;525i AT;;
BMW;5-Series;2009;1516000;https://auto.drom.ru/moscow/bmw/5-series/428318816.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;218 л.с., налог;механика;4WD;универсал;серый;123 257 км;левый;5 поколение, рестайлинг;;;
BMW;X5;2009;1619000;https://auto.drom.ru/spb/bmw/x5/178071057.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;269 л.с., налог;автомат;4WD;;красный;214 000 км;левый;;;;
BMW;5-Series;2009;1690000;https://auto.drom.ru/kazan/bmw/5-series/52947786.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 3.0 л;218 л.с., налог;АКПП;4WD;седан;синий;159 900 км;левый;5 поколение, рестайлинг;;;
BMW;5-Series Gran Turismo;2009;1750000;https://auto.drom.ru/fokino-bryansk/bmw/5-series_gran_turismo/798971008.html;;;;;Фокино;дизель, 3.0 л;245 л.с., налог;АКПП;задний;;черный;167 000 км;левый;6 поколение;530d AT;;
BMW;X5;2009;1950000;https://auto.drom.ru/volzhskiy/bmw/x5/729319935.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Волжском;дизель, 3.0 л;235 л.с., налог;АКПП;4WD;;серый;340 374 км;левый;2 поколение;xDrive 30d AT;;
