Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;
BMW;5-Series;2017;2597000;https://auto.drom.ru/moscow/bmw/5-series/322868296.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;седан;серый;183 928 км;левый;7 поколение;;
BMW;X6;2017;5419000;https://auto.drom.ru/spb/bmw/x6/337027614.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 4.4 л;575 л.с., налог;АКПП;4WD;;голубой;56 898 км;левый;2 поколение;;
BMW;3-Series;2017;2994300;https://auto.drom.ru/moscow/bmw/3-series/740035085.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;68 620 км;левый;6 поколение, рестайлинг;;
BMW;X5;2017;4699000;https://auto.drom.ru/moscow/bmw/x5/356334368.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;123 572 км;левый;3 поколение;;
BMW;X5;2017;4399000;https://auto.drom.ru/moscow/bmw/x5/54128460.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;113 979 км;левый;3 поколение;;
BMW;1-Series;2017;1889000;https://auto.drom.ru/moscow/bmw/1-series/53831820.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;оранжевый;107 134 км;левый;2 поколение;;
BMW;3-Series;2017;2839680;https://auto.drom.ru/kazan/bmw/3-series/53472754.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель;;автомат;;седан;коричневый;149 000 км;левый;6 поколение, рестайлинг;;
BMW;X5;2017;5400000;https://auto.drom.ru/himki/bmw/x5/54123878.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;381 л.с., налог;АКПП;4WD;;черный;66 466 км;левый;3 поколение;;
BMW;5-Series;2017;3329000;https://auto.drom.ru/moscow/bmw/5-series/739269719.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;черный;97 685 км;левый;;;
BMW;3-Series;2017;2699000;https://auto.drom.ru/moscow/bmw/3-series/54134488.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;автомат;4WD;лифтбек;черный;89 545 км;левый;;;
