Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;;
BMW;X5;2019;7499000;https://auto.drom.ru/moscow/bmw/x5/406838647.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;34 000 км;левый;4 поколение;xDrive 30d AT M Sport;;;
BMW;7-Series;2019;9769000;https://auto.drom.ru/spb/bmw/7-series/105507992.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;3 500 км;левый;6 поколение, рестайлинг;;;;
BMW;3-Series;2019;3150000;https://auto.drom.ru/spb/bmw/3-series/590248676.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;серый;119 000 км;левый;7 поколение;320d AT M Sport;;;
BMW;X5;2019;6590000;https://auto.drom.ru/voronezh/bmw/x5/628610911.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;белый;83 151 км;левый;4 поколение;;;;
BMW;3-Series;2019;3250000;https://auto.drom.ru/minsk/bmw/3-series/53504138.html;;;;;Минске;дизель, 2.0 л;150 л.с., налог;АКПП;задний;седан;серый;64 990 км;левый;7 поколение;;;;
BMW;X1;2019;2700000;https://auto.drom.ru/dubovoe/bmw/x1/53408048.html;;;;;Дубовом;бензин, 2.0 л;231 л.с., налог;робот;передний;;черный;54 000 км;левый;2 поколение;sDrive28i AT;;;
BMW;3-Series;2019;4138000;https://auto.drom.ru/nizhniy-novgorod/bmw/3-series/53506431.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;синий;49 000 км;левый;7 поколение;320d AT xDrive;;;
BMW;X3;2019;3890000;https://auto.drom.ru/moscow/bmw/x3/216899013.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;131 943 км;левый;3 поколение;xDrive 20d AT M Sport;;;
BMW;5-Series;2019;4560000;https://auto.drom.ru/moscow/bmw/5-series/54155170.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;белый;136 100 км;левый;7 поколение;;;;
BMW;Z4;2019;5680000;https://auto.drom.ru/tambov/bmw/z4/53877274.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Тамбове;бензин, 3.0 л;387 л.с., налог;автомат;задний;купе;черный;22 808 км;левый;;;;;
