Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
Audi;SQ7;2020;10080000;https://auto.drom.ru/moscow/audi/sq7/650995613.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 4.0 л;435 л.с., налог;АКПП;4WD;;черный;67 437 км;левый;1 поколение, рестайлинг;4.0 TDI quattro tiptronic;;;
Audi;A3;2020;2290000;https://auto.drom.ru/minsk/audi/a3/53178975.html;;;;;Минске;бензин, 1.4 л;150 л.с., налог;робот;передний;седан;серебристый;105 000 км;левый;3 поколение, рестайлинг;1.4 35 TFSI COD ultra S tronic Sport;;;
Audi;Q5;2020;3999000;https://auto.drom.ru/voronezh/audi/q5/490416772.html;;;;;Воронеже;бензин, 2.0 л;252 л.с., налог;автомат;4WD;;белый;104 368 км;левый;2 поколение;;;;
Audi;A3;2020;2075000;https://auto.drom.ru/moscow/audi/a3/53949919.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.4 л;150 л.с., налог;робот;передний;седан;черный;63 347 км;левый;;;;;
Audi;Q5;2020;4844789;https://auto.drom.ru/spb/audi/q5/53949956.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;265 л.с., налог;автомат;4WD;;синий;23 459 км;левый;;;;;
Audi;Q7;2020;7499000;https://auto.drom.ru/spb/audi/q7/53609885.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;серый;50 000 км;левый;2 поколение, рестайлинг;3.0 45 TDI quattro tiptronic Sport;;;
Audi;A7;2020;7290000;https://auto.drom.ru/moscow/audi/a7/52123893.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;340 л.с., налог;робот;4WD;;белый;36 658 км;левый;2 поколение;3.0 55 TFSI quattro S tronic;;;
Audi;Q7;2020;7760000;https://auto.drom.ru/moscow/audi/q7/260013715.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;серый;32 344 км;левый;2 поколение;;;;
Audi;Q7;2020;8400000;https://auto.drom.ru/volgograd/audi/q7/53595090.html;;;;;Волгограде;бензин, 3.0 л;340 л.с., налог;автомат;4WD;;белый;56 410 км;левый;2 поколение, рестайлинг;;;;
Audi;A5;2020;4829000;https://auto.drom.ru/spb/audi/a5/53598235.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;249 л.с., налог;робот;4WD;купе;зеленый;58 500 км;левый;2 поколение;;;;
Audi;A5;2020;4319000;https://auto.drom.ru/spb/audi/a5/53189117.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;249 л.с., налог;робот;4WD;лифтбек;синий;45 635 км;левый;2 поколение;;;;
Audi;Q8;2020;9700000;https://auto.drom.ru/spb/audi/q8/52299813.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;39 000 км;левый;1 поколение;3.0 45 TDI quattro tiptronic Advance;;;
Audi;A5;2020;3849000;https://auto.drom.ru/mytishchi/audi/a5/468615150.html;;;;;Мытищах;бензин, 2.0 л, гибрид;265 л.с., налог;робот;4WD;лифтбек;зеленый;63 700 км, без пробега по РФ;левый;2 поколение, рестайлинг;2.0 45 TFSI quattro S tronic Advanced;;;
Audi;Q7;2020;8900000;https://auto.drom.ru/volgograd/audi/q7/52241722.html;;;;;Волгограде;бензин, 3.0 л;340 л.с., налог;автомат;4WD;;белый;56 410 км;левый;2 поколение, рестайлинг;;;;
Audi;e-tron Sportback;2020;6699000;https://auto.drom.ru/nizhniy-novgorod/audi/e-tron_sportback/52715995.html;Модель не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;электро;215 л.с., налог;автомат;4WD;;серый;41 224 км;левый;1 поколение;;;;
