Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Цвет;Пробег;Руль;Поколение;;;;;
Audi;Q5;2020;3779789;https://auto.drom.ru/spb/audi/q5/248289881.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;249 л.с., налог;робот;4WD;зеленый;94 680 км;левый;2 поколение;;;;;
Audi;e-tron;2020;4499000;https://auto.drom.ru/moscow/audi/e-tron/422255247.html;;;;;Москве;электро;313 л.с., налог;АКПП;4WD;синий;35 000 км;левый;1 поколение;71 kWh 50 quattro e-tron;;;;
Audi;A4;2020;3400000;https://auto.drom.ru/pushkino/audi/a4/51661928.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Пушкино;дизель, 2.0 л, гибрид;190 л.с., налог;робот;4WD;серый;150 000 км, без пробега по РФ;левый;5 поколение, рестайлинг;2.0 40 TDI quattro S tronic;универсал;;;
Audi;e-tron Sportback;2020;4950000;https://auto.drom.ru/spb/audi/e-tron_sportback/53132180.html;;;;;Санкт-Петербурге;электро;;автомат;4WD;синий;64 875 км;левый;1 поколение;;;;;
Audi;A6;2020;3999000;https://auto.drom.ru/spb/audi/a6/52682117.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;245 л.с., налог;автомат;4WD;синий;82 711 км;левый;;;седан;;;
Audi;Q8;2020;6750000;https://auto.drom.ru/moscow/audi/q8/760734350.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;черный;79 000 км;левый;1 поколение;3.0 50 TDI quattro tiptronic;;;;
Audi;Q5;2020;5445789;https://auto.drom.ru/spb/audi/q5/52654987.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;252 л.с., налог;автомат;4WD;серый;11 266 км;левый;2 поколение;;;;;
Audi;A6;2020;5450000;https://auto.drom.ru/moscow/audi/a6/53537636.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л, гибрид;231 л.с., налог;АКПП;4WD;синий;70 000 км;левый;5 поколение;;седан;;;
Audi;Q7;2020;6270000;https://auto.drom.ru/spb/audi/q7/53109876.html;;;;;Санкт-Петербурге;дизель, 3.0 л;231 л.с., налог;АКПП;4WD;синий;96 144 км;левый;2 поколение;3.0 45 TDI quattro tiptronic;;;;
Audi;A6;2020;4450000;https://auto.drom.ru/spb/audi/a6/53879095.html;Цвет не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л, гибрид;245 л.с., налог;робот;4WD;фиолетовый;52 218 км;левый;5 поколение;2.0 45 TFSI quattro S tronic Advance;седан;;;
Audi;SQ5;2020;4500000;https://auto.drom.ru/minsk/audi/sq5/53877780.html;;;;;Минске;бензин, 3.0 л;354 л.с., налог;АКПП;4WD;черный;54 200 км;левый;2 поколение;3.0 TFSI quattro tiptronic;;;;
Audi;A6;2020;4144000;https://auto.drom.ru/moscow/audi/a6/53524410.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;автомат;4WD;черный;32 494 км;левый;;;седан;;;
Audi;Q3;2020;3169700;https://auto.drom.ru/moscow/audi/q3/53523412.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.4 л;150 л.с., налог;робот;передний;белый;67 880 км;левый;2 поколение;;;;;
Audi;A4;2020;3780000;https://auto.drom.ru/moscow/audi/a4/53785339.html;;;;;Москве;дизель, 2.0 л, гибрид;190 л.с., налог;робот;4WD;серебристый;85 000 км, без пробега по РФ;левый;5 поколение, рестайлинг;2.0 40 TDI quattro S tronic;универсал;;;
Audi;A4;2020;2440000;https://auto.drom.ru/lyubertsy/audi/a4/265742182.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Люберцах;бензин, 2.0 л;190 л.с., налог;робот;передний;синий;46 000 км;левый;5 поколение, рестайлинг;;седан;требуется ремонт или не на ходу;;
Audi;Q5;2020;3600000;https://auto.drom.ru/spb/audi/q5/54082645.html;Электронный ПТС не выдавался;;;;Санкт-Петербурге;бензин, 2.0 л;249 л.с., налог;робот;4WD;белый;19 000 км, без пробега по РФ;левый;2 поколение;2.0 45 TFSI quattro S tronic;;;;
Audi;A6;2020;4150000;https://auto.drom.ru/spb/audi/a6/53875968.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;робот;передний;серый;61 419 км;левый;5 поколение;;седан;;;
Audi;Q8;2020;9324000;https://auto.drom.ru/spb/audi/q8/53874591.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;красный;59 642 км;левый;1 поколение;;;;;
Audi;Q8;2020;6829000;https://auto.drom.ru/moscow/audi/q8/53509001.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;черный;124 421 км;левый;1 поколение;3.0 50 TDI quattro tiptronic;;;;
Audi;A7;2020;6230000;https://auto.drom.ru/spb/audi/a7/53089233.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;серый;46 500 км;левый;2 поколение;;;;;
Audi;Q3;2020;4000000;https://auto.drom.ru/moscow/audi/q3/54154727.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;180 л.с., налог;робот;4WD;черный;88 000 км;левый;2 поколение;2.0 40 TFSI quattro S tronic;;;;
Audi;Q7;2021;6370000;https://auto.drom.ru/odintsovo/audi/q7/540869642.html;;;;;Одинцове;бензин, 2.0 л;248 л.с., налог;автомат;4WD;черный;32 576 км;левый;2 поколение, рестайлинг;;;;;
Audi;A6;2021;7149000;https://auto.drom.ru/spb/audi/a6/53845593.html;;;;;Санкт-Петербурге;дизель, 3.0 л;245 л.с., налог;автомат;4WD;серый;11 512 км, без пробега по РФ;левый;;;седан;;;
Audi;A8;2021;8789000;https://auto.drom.ru/moscow/audi/a8/409564313.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.0 л;460 л.с., налог;автомат;4WD;черный;92 249 км;левый;;;;;;
Audi;A5;2021;5595000;https://auto.drom.ru/spb/audi/a5/373988867.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;249 л.с., налог;автомат;4WD;зеленый;7 400 км;левый;;;купе;;;
Audi;Q3;2021;4750000;https://auto.drom.ru/moscow/audi/q3/913060723.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;180 л.с., налог;робот;4WD;серый;45 615 км;левый;2 поколение;2.0 40 TFSI quattro S tronic Sport;;;;
Audi;A6;2021;4222000;https://auto.drom.ru/moscow/audi/a6/800026611.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Есть ограничения;Москве;дизель, 2.0 л;190 л.с., налог;робот;передний;черный;119 042 км;левый;5 поколение;;седан;;;
Audi;A5;2021;4550000;https://auto.drom.ru/spb/audi/a5/454742407.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;190 л.с., налог;автомат;передний;красный;31 600 км;левый;;;купе;;;
Audi;A3;2021;2750000;https://auto.drom.ru/moscow/audi/a3/54133300.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.4 л;150 л.с., налог;АКПП;передний;синий;63 302 км;левый;4 поколение;1.4 35 TFSI Tiptronic Design;хэтчбек 5 дв.;;;
Audi;A4;2021;4150000;https://auto.drom.ru/moscow/audi/a4/53466015.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;робот;передний;белый;31 718 км;левый;5 поколение, рестайлинг;2.0 35 TFSI S tronic;седан;;;
Audi;Q7;2021;6900000;https://auto.drom.ru/moscow/audi/q7/52924058.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;черный;69 000 км;левый;2 поколение, рестайлинг;;;;;
Audi;A6;2021;4860000;https://auto.drom.ru/moscow/audi/a6/54118472.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;190 л.с., налог;автомат;передний;белый;26 902 км;левый;;;седан;;;
Audi;A7;2021;6289000;https://auto.drom.ru/spb/audi/a7/53461300.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;245 л.с., налог;робот;4WD;синий;59 325 км;левый;2 поколение;2.0 45 TFSI quattro S tronic;;;;
Audi;A6;2021;4339000;https://auto.drom.ru/himki/audi/a6/53005392.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;черный;107 724 км;левый;5 поколение;;седан;;;
Audi;A4;2021;4390000;https://auto.drom.ru/moscow/audi/a4/54102167.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;робот;передний;серый;678 км;левый;5 поколение, рестайлинг;2.0 35 TFSI S tronic Sport;седан;;;
Audi;A7;2021;13350000;https://auto.drom.ru/spb/audi/a7/54101184.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 4.0 л;600 л.с., налог;автомат;4WD;красный;33 665 км;левый;;;;;;
Audi;A3;2021;3450000;https://auto.drom.ru/moscow/audi/a3/53597843.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.4 л;150 л.с., налог;АКПП;передний;серый;40 942 км;левый;4 поколение;;седан;;;
Audi;Q5;2021;4200000;https://auto.drom.ru/minsk/audi/q5/53442833.html;;;;;Минске;бензин, 2.0 л, гибрид;265 л.с., налог;робот;4WD;белый;20 000 км, без пробега по РФ;левый;2 поколение, рестайлинг;2.0 45 TFSI quattro S tronic;;;;
